@relation ncaa

@attribute seed integer
@attribute record real
@attribute conference integer
@attribute rpi real
@attribute finish real
@attribute ppg real
@attribute rpg real
@attribute apg real
@attribute spg real
@attribute bpg real
@attribute tpg real
@attribute fgp real
@attribute ftp real
@attribute tpp real

@data
1,	0.8824,	1,	.677,	0,	82,	38,	16,	7,	4,	13,	.494,	.706,	.426
16,	0.5143,	0,	.487,	0,	76,	37,	14,	7,	3,	14,	.463,	.670,	.348
8,	0.6667,	1,	.589,	0,	76,	42,	14,	5,	5,	13,	.425,	.738,	.392
9,	0.7059,	0,	.589,	0,	73,	37,	14,	6,	5,	11,	.459,	.785,	.363
5,	0.7576,	1,	.618,	0,	76,	35,	14,	6,	5,	13,	.488,	.760,	.374
12,	0.7879,	0,	.593,	0,	76,	38,	11,	5,	2,	12,	.451,	.739,	.357
4,	0.697,	1,	.616,	0,	75,	40,	13,	4,	5,	12,	.461,	.656,	.369
13,	0.8438,	0,	.555,	0,	78,	37,	16,	8,	4,	13,	.462,	.681,	.327
6,	0.7576,	1,	.600,	0,	81,	40,	15,	5,	5,	13,	.482,	.723,	.383
11,	0.75,	0,	.584,	0,	73,	38,	14,	7,	4,	10,	.432,	.716,	.331
3,	0.7812,	1,	.637,	0,	76,	35,	13,	6,	4,	11,	.477,	.751,	.366
14,	0.5882,	0,	.548,	0,	78,	39,	13,	7,	4,	14,	.438,	.710,	.337
7,	0.6774,	1,	.594,	0,	78,	38,	16,	7,	5,	10,	.450,	.719,	.382
10,	0.6562,	0,	.572,	0,	69,	37,	14,	5,	3,	9,	.405,	.684,	.340
2,	0.8529,	1,	.653,	0,	77,	36,	16,	7,	3,	11,	.467,	.777,	.344
15,	0.6667,	0,	.521,	0,	76,	38,	12,	9,	3,	13,	.458,	.694,	.324
1,	0.8235,	1,	.662,	0,	79,	36,	14,	8,	6,	12,	.467,	.713,	.349
16,	0.4242,	0,	.451,	0,	65,	30,	14,	6,	3,	11,	.413,	.693,	.327
8,	0.7941,	0,	.609,	0,	77,	39,	15,	5,	3,	10,	.449,	.719,	.328
9,	0.6875,	0,	.581,	0,	73,	39,	15,	8,	6,	11,	.428,	.704,	.345
5,	0.6667,	1,	.600,	0,	77,	37,	18,	8,	4,	13,	.467,	.727,	.367
12,	0.7857,	0,	.583,	0,	75,	40,	15,	6,	5,	13,	.471,	.663,	.374
4,	0.697,	1,	.608,	0,	81,	36,	13,	6,	4,	10,	.459,	.722,	.387
13,	0.7812,	0,	.582,	0,	79,	38,	13,	8,	4,	11,	.456,	.702,	.336
6,	0.625,	1,	.598,	0,	71,	35,	11,	5,	4,	10,	.432,	.665,	.339
11,	0.6471,	0,	.565,	0,	68,	30,	12,	6,	3,	10,	.457,	.753,	.375
3,	0.7647,	1,	.610,	0,	76,	39,	17,	7,	4,	12,	.450,	.673,	.353
14,	0.6571,	0,	.531,	0,	84,	39,	14,	10,	5,	12,	.448,	.659,	.350
7,	0.6129,	1,	.590,	0,	72,	35,	13,	7,	3,	11,	.441,	.671,	.370
10,	0.7059,	0,	.586,	0,	77,	37,	14,	9,	4,	12,	.452,	.690,	.361
2,	0.7812,	1,	.642,	0,	80,	39,	15,	7,	5,	13,	.459,	.728,	.426
15,	0.75,	0,	.529,	0,	73,	38,	16,	8,	5,	12,	.451,	.653,	.344
1,	0.8235,	1,	.645,	0,	82,	41,	18,	7,	4,	11,	.479,	.738,	.314
16,	0.6061,	0,	.480,	0,	78,	41,	14,	7,	4,	12,	.480,	.645,	.357
8,	0.6364,	1,	.580,	0,	81,	39,	15,	6,	5,	12,	.458,	.678,	.385
9,	0.697,	1,	.587,	0,	74,	37,	16,	7,	4,	12,	.422,	.727,	.321
