@relation ncaa

@attribute name string
@attribute year string
@attribute seed integer
@attribute record real
@attribute conference integer
@attribute rpi real
@attribute finish real
@attribute ppg real
@attribute rpg real
@attribute apg real
@attribute spg real
@attribute bpg real
@attribute tpg real
@attribute fgp real
@attribute ftp real
@attribute tpp real

@data
'Kentucky',			2015,	1,	1.0000,	1,	.678,	5,	75,	38,	15,	7,	7,	11,	.469,	.722,	.350
'Hampton',			2015,	16,	0.4848,	0,	.457,	1,	67,	37,	11,	7,	4,	14,	.408,	.652,	.304
'Cincinatti',		2015,	8,	0.6875,	0,	.583,	2,	62,	34,	12,	7,	5,	13,	.453,	.674,	.333
'Purdue',			2015,	9,	0.6364,	1,	.568,	1,	70,	36,	15,	5,	5,	13,	.453,	.685,	.335
'West Virginia',	2015,	5,	0.7188,	1,	.604,	3,	74,	37,	15,	11,	3,	13,	.412,	.660,	.318
'Buffalo',			2015,	12,	0.7188,	0,	.597,	1,	75,	38,	13,	8,	4,	11,	.435,	.722,	.340
'Maryland',			2015,	4,	0.8182,	1,	.626,	2,	69,	35,	11,	5,	4,	12,	.438,	.757,	.372
'Valparaiso',		2015,	13,	0.8485,	0,	.571,	1,	70,	38,	13,	6,	5,	13,	.459,	.678,	.378
'Butler',			2015,	6,	0.6875,	0,	.593,	2,	70,	37,	12,	6,	3,	11,	.439,	.680,	.358
'Texas',			2015,	11,	0.6061,	1,	.579,	1,	68,	40,	13,	4,	8,	13,	.436,	.725,	.339
'Notre Dame',		2015,	3,	0.8529,	1,	.616,	4,	79,	33,	15,	7,	4,	9,	.510,	.740,	.392
'Northeastern',		2015,	14,	0.6765,	0,	.543,	1,	69,	33,	14,	5,	4,	14,	.486,	.725,	.388
'Wichita St',		2015,	7,	0.875,	0,	.616,	3,	70,	36,	14,	7,	4,	9,	.446,	.688,	.362
'Indiana',			2015,	10,	0.6061,	1,	.565,	1,	77,	36,	14,	5,	3,	11,	.466,	.715,	.403
'Kansas',			2015,	2,	0.7647,	1,	.669,	2,	71,	38,	13,	7,	5,	13,	.440,	.720,	.375
'New Mexico St',	2015,	15,	0.697,	0,	.533,	1,	68,	35,	12,	6,	4,	14,	.466,	.694,	.368
'Wisconsin',		2015,	1,	0.9118,	1,	.668,	6,	72,	34,	13,	5,	4,	7,	.480,	.763,	.357
'Coast Carolina',	2015,	16,	0.7273,	0,	.519,	1,	72,	40,	11,	7,	3,	12,	.439,	.688,	.356
'Oregon',			2015,	8,	0.7353,	1,	.598,	2,	76,	36,	14,	6,	4,	12,	.461,	.760,	.360
'Oklahoma St',		2015,	9,	0.5806,	1,	.572,	1,	67,	33,	11,	8,	5,	12,	.439,	.726,	.350
'Arkansas',			2015,	5,	0.7647,	1,	.612,	2,	78,	36,	16,	8,	5,	12,	.447,	.724,	.350
'Wofford',			2015,	12,	0.8235,	0,	.574,	1,	67,	32,	13,	7,	3,	11,	.458,	.689,	.376
'North Carolina',	2015,	4,	0.6857,	1,	.627,	3,	78,	41,	18,	7,	4,	13,	.475,	.700,	.345
'Harvard',			2015,	13,	0.7586,	0,	.570,	1,	64,	34,	13,	7,	5,	12,	.435,	.713,	.353
'Xavier',			2015,	6,	0.6176,	0,	.595,	3,	74,	35,	16,	6,	3,	12,	.473,	.725,	.349
'Ole Miss',			2015,	11,	0.625,	1,	.565,	1,	73,	38,	13,	7,	4,	11,	.426,	.778,	.338
'Baylor',			2015,	3,	0.7273,	1,	.630,	1,	69,	39,	15,	8,	4,	13,	.434,	.670,	.377
'Georgia St',		2015,	14,	0.7273,	0,	.570,	2,	72,	33,	14,	9,	4,	11,	.480,	.727,	.331
'VCU',				2015,	7,	0.7429,	0,	.620,	1,	72,	35,	13,	10,	4,	11,	.420,	.656,	.342
'Ohio St',			2015,	10,	0.697,	1,	.580,	2,	76,	36,	15,	8,	5,	11,	.486,	.678,	.372
'Arizona',			2015,	2,	0.9118,	1,	.663,	4,	76,	37,	14,	7,	4,	11,	.489,	.699,	.360
'Texas Southern',	2015,	15,	0.6471,	0,	.525,	1,	68,	35,	11,	6,	3,	13,	.444,	.662,	.320
'Villanova',		2015,	1,	0.9412,	0,	.669,	2,	76,	34,	16,	8,	4,	11,	.470,	.727,	.389
'Lafayette',		2015,	16,	0.625,	0,	.523,	1,	74,	31,	16,	6,	3,	11,	.488,	.766,	.413
'NC State',			2015,	8,	0.6061,	1,	.580,	3,	70,	38,	12,	4,	5,	11,	.437,	.683,	.361
'LSU',				2015,	9,	0.6875,	1,	.566,	1,	74,	39,	16,	7,	6,	15,	.456,	.689,	.339
'Northern Iowa',	2015,	5,	0.9091,	0,	.622,	2,	65,	31,	12,	6,	2,	10,	.483,	.726,	.397
'Wyoming',			2015,	12,	0.7353,	0,	.557,	1,	62,	30,	14,	6,	3,	11,	.462,	.707,	.323
'Louisville',		2015,	4,	0.75,	1,	.609,	4,	69,	38,	12,	8,	6,	12,	.429,	.660,	.304
'UC Irvine',		2015,	13,	0.6364,	0,	.542,	1,	68,	35,	14,	6,	5,	12,	.461,	.683,	.390
'Providence',		2015,	6,	0.6667,	0,	.608,	1,	70,	36,	14,	7,	5,	12,	.442,	.710,	.310
'Dayton',			2015,	11,	0.7576,	0,	.592,	2,	68,	32,	14,	7,	3,	11,	.463,	.682,	.352
'Oklahoma',			2015,	3,	0.6875,	1,	.615,	3,	72,	38,	13,	7,	5,	12,	.436,	.735,	.343
'Albany',			2015,	14,	0.75,	0,	.535,	1,	66,	34,	10,	6,	2,	12,	.440,	.761,	.360
'Michigan St',		2015,	7,	0.6765,	1,	.607,	5,	72,	38,	17,	5,	5,	12,	.471,	.633,	.386
'Georgia',			2015,	10,	0.6562,	1,	.582,	1,	68,	38,	13,	6,	5,	13,	.435,	.689,	.344
'Virginia',			2015,	2,	0.9062,	1,	.656,	2,	65,	36,	13,	6,	4,	10,	.463,	.723,	.361
'Belmont',			2015,	15,	0.6875,	0,	.532,	1,	74,	33,	15,	6,	2,	14,	.476,	.691,	.382
'Duke',				2015,	1,	0.8788,	1,	.661,	7,	81,	37,	16,	7,	4,	11,	.502,	.691,	.386
'Rob Morris',		2015,	16,	0.5758,	0,	.502,	1,	69,	33,	12,	9,	3,	14,	.446,	.714,	.380
'San Diego St',		2015,	8,	0.7647,	0,	.601,	2,	62,	35,	11,	7,	5,	11,	.419,	.629,	.320
'St Johns',			2015,	9,	0.6562,	0,	.577,	1,	71,	35,	13,	7,	7,	11,	.441,	.692,	.353
'Utah',				2015,	5,	0.75,	1,	.614,	3,	72,	35,	14,	6,	5,	11,	.485,	.699,	.404
'Stephen F A',		2015,	12,	0.8788,	0,	.592,	1,	79,	35,	18,	8,	4,	14,	.491,	.734,	.386
'Georgetown',		2015,	4,	0.6774,	0,	.604,	2,	71,	35,	13,	8,	5,	13,	.455,	.702,	.347
'East Washington',	2015,	13,	0.7647,	0,	.556,	1,	81,	34,	13,	6,	5,	11,	.480,	.723,	.403
'SMU',				2015,	6,	0.8182,	0,	.627,	1,	69,	37,	16,	7,	4,	13,	.479,	.705,	.359
'UCLA',				2015,	11,	0.6061,	1,	.572,	3,	72,	38,	14,	7,	4,	12,	.441,	.676,	.363
'Iowa St',			2015,	3,	0.7576,	1,	.635,	1,	78,	36,	16,	6,	4,	11,	.480,	.696,	.366
'UAB',				2015,	14,	0.5588,	0,	.520,	2,	69,	37,	14,	7,	5,	14,	.430,	.741,	.332
'Iowa',				2015,	7,	0.6562,	1,	.578,	2,	69,	38,	14,	7,	5,	11,	.427,	.745,	.332
'Davidson',			2015,	10,	0.7742,	0,	.587,	1,	80,	36,	17,	5,	3,	10,	.471,	.711,	.397
'Gonzaga',			2015,	2,	0.9412,	0,	.643,	4,	79,	38,	17,	6,	3,	11,	.524,	.691,	.408
'NDSU',				2015,	15,	0.7188,	0,	.539,	1,	65,	34,	10,	5,	4,	10,	.430,	.693,	.380
'Florida',				2014,	1,	.9411,	1,	.668,	5,	71,	36,	13,	7,	3,	11,	.463,	.666,	.366
'Albany',				2014,	16,	.5625,	0,	.49,	1,	66,	35,	11,	6,	3,	13,	.439,	.748,	.364
'Colorado',				2014,	8,	.6764,	1,	.596,	1,	71,	38,	12,	6,	3,	13,	.437,	.716,	.320
'Pittsburgh',			2014,	9,	.7353,	1,	.588,	2,	72,	36,	16,	7,	3,	11,	.461,	.711,	.356
'VCU',					2014,	5,	.7647,	0,	.622,	1,	75,	38,	13,	11,	4,	12,	.420,	.677,	.351
'Stephen F Austin',		2014,	12,	.9394,	0,	.569,	2,	76,	34,	17,	8,	3,	11,	.464,	.708,	.348
'UCLA',					2014,	4,	.7647,	1,	.620,	3,	82,	36,	17,	9,	3,	11,	.490,	.749,	.391
'Tulsa',				2014,	13,	.6364,	0,	.559,	1,	73,	36,	13,	7,	4,	11,	.442,	.675,	.325
'Ohio State',			2014,	6,	.7353,	1,	.608,	1,	70,	34,	12,	8,	5,	11,	.449,	.689,	.326
'Dayton',				2014,	11,	.6970,	0,	.582,	4,	73,	35,	13,	6,	3,	12,	.466,	.681,	.378
'Syracuse',				2014,	3,	.8438,	1,	.620,	2,	68,	35,	12,	8,	5,	9,	.437,	.703,	.335
'W Michigan',			2014,	14,	.7188,	0,	.559,	1,	73,	35,	11,	6,	3,	14,	.466,	.724,	.332
'New Mexico',			2014,	7,	.8182,	0,	.619,	1,	75,	38,	15,	5,	5,	11,	.461,	.727,	.337
'Stanford',				2014,	10,	.6364,	1,	.584,	3,	74,	35,	12,	5,	4,	11,	.464,	.703,	.371
'Kansas',				2014,	2,	.7273,	1,	.656,	2,	80,	38,	15,	6,	6,	13,	.495,	.711,	.345
'E Kentucky',			2014,	15,	.7273,	0,	.537,	1,	79,	26,	15,	9,	2,	11,	.490,	.751,	.390
'Virginia',				2014,	1,	.8235,	1,	.633,	3,	66,	35,	13,	5,	4,	10,	.453,	.664,	.363
'Coast Carolina',		2014,	16,	.6364,	0,	.485,	1,	73,	40,	11,	6,	3,	14,	.438,	.694,	.333
